,title,rating,genre,release_date,ranking,director,cast,budget,runtime,cum_worldwide_gross
31,Interstellar ,PG,"Adventure; 
Drama; 
Sci-Fi",7 November 2014,8.6,Christopher Nolan,Ellen Burstyn;Matthew McConaughey;Mackenzie Foy;John Lithgow;Timothée Chalamet;David Oyelowo;Collette Wolfe;Francis X. McCarthy;Bill Irwin;Anne Hathaway;Andrew Borba;Wes Bentley;William Devane;Michael Caine;David Gyasi,165000000,169,675020017
32,Psycho ,,,8 September 1960,8.5,Alfred Hitchcock,Anthony Perkins;Vera Miles;John Gavin;Janet Leigh;Martin Balsam;John McIntire;Simon Oakland;Frank Albertson;Patricia Hitchcock;Vaughn Taylor;Lurene Tuttle;John Anderson;Mort Mills,806947,109,50000000
33,American History X ,,Drama,20 November 1998,8.5,Tony Kaye,Edward Norton;Edward Furlong;Beverly D'Angelo;Jennifer Lien;Ethan Suplee;Fairuza Balk;Avery Brooks;Elliott Gould;Stacy Keach;William Russ;Guy Torry;Joe Cortese;Jason Bose Smith;Antonio David Lyons;Alex Sol,7500000,119,23875127
34,City Lights ,G,"Comedy; 
Drama; 
Romance",7 March 1931,8.5,Charles Chaplin,Virginia Cherrill;Florence Lee;Harry Myers;Al Ernest Garcia;Hank Mann;Charles Chaplin,1500000,87,
35,Once Upon a Time in the West ,,,21 December 1968,8.5,Sergio Leone,Claudia Cardinale;Henry Fonda;Jason Robards;Charles Bronson;Gabriele Ferzetti;Paolo Stoppa;Woody Strode;Jack Elam;Keenan Wynn;Frank Wolff;Lionel Stander,5000000,165,
36,Casablanca ,G,"Drama; 
Romance; 
War",23 January 1943,8.5,Michael Curtiz,Humphrey Bogart;Ingrid Bergman;Paul Henreid;Claude Rains;Conrad Veidt;Sydney Greenstreet;Peter Lorre;S.Z. Sakall;Madeleine Lebeau;Dooley Wilson;Joy Page;John Qualen;Leonid Kinskey;Curt Bois,950000,102,
37,Modern Times ,,"Comedy; 
Drama; 
Family",25 February 1936,8.5,Charles Chaplin,Charles Chaplin;Paulette Goddard;Henry Bergman;Tiny Sandford;Chester Conklin;Hank Mann;Stanley Blystone;Al Ernest Garcia;Richard Alexander;Cecil Reynolds;Mira McKinney;Murdock MacQuarrie;Wilfred Lucas;Edward LeSaint;Fred Malatesta,1500000,87,
38,The Pianist ,,,24 January 2003,8.5,Roman Polanski,Adrien Brody;Emilia Fox;Michal Zebrowski;Ed Stoppard;Maureen Lipman;Frank Finlay;Jessica Kate Meyer;Julia Rayner;Wanja Mues;Richard Ridings;Nomi Sharron;Anthony Milner;Lucy Skeaping;Roddy Skeaping;Ben Harlan,35000000,150,120072577
39,The Intouchables ,,,2 November 2011,8.5,,François Cluzet;Omar Sy;Anne Le Ny;Audrey Fleurot;Joséphine de Meaux;Clotilde Mollet;Alba Gaïa Bellugi;Cyril Mendy;Salimata Kamate;Absa Diatou Toure;Grégoire Oestermann;Dominique Daguier;François Caron;Christian Ameri;Thomas Solivérès,,112,426480871
40,The Departed ,,"Crime; 
Drama; 
Thriller",6 October 2006,8.5,Martin Scorsese,Leonardo DiCaprio;Matt Damon;Jack Nicholson;Mark Wahlberg;Martin Sheen;Ray Winstone;Vera Farmiga;Anthony Anderson;Alec Baldwin;Kevin Corrigan;James Badge Dale;David O'Hara;Mark Rolston;Robert Wahlberg;Kristen Dalton,90000000,151,289847354
41,Terminator 2: Judgment Day ,,"Action; 
Sci-Fi",3 July 1991,8.5,James Cameron,Arnold Schwarzenegger;Linda Hamilton;Edward Furlong;Robert Patrick;Earl Boen;Joe Morton;S. Epatha Merkerson;Castulo Guerra;Danny Cooksey;Jenette Goldstein;Xander Berkeley;Leslie Hamilton Gearren;Ken Gibbel;Robert Winley;Peter Schrum,102000000,137,315000000
42,Back to the Future ,PG,"Adventure; 
Comedy; 
Sci-Fi",3 July 1985,8.5,Robert Zemeckis,Michael J. Fox;Christopher Lloyd;Lea Thompson;Crispin Glover;Thomas F. Wilson;Claudia Wells;Marc McClure;Wendie Jo Sperber;George DiCenzo;Frances Lee McCain;James Tolkan;J.J. Cohen;Casey Siemaszko;Billy Zane;Harry Waters Jr.,19000000,116,381109762
43,Whiplash ,,"Drama; 
Music",15 October 2014,8.5,Damien Chazelle,Miles Teller;J.K. Simmons;Paul Reiser;Melissa Benoist;Austin Stowell;Nate Lang;Chris Mulkey;Damon Gupton;Suanne Spoke;Max Kasch;Charlie Ian;Jayson Blair;Kofi Siriboe;Kavita Patil;C.J. Vana,3300000,106,48982041
44,Rear Window ,PG,"Mystery; 
Thriller",September 1954,8.5,Alfred Hitchcock,James Stewart;Grace Kelly;Wendell Corey;Thelma Ritter;Raymond Burr;Judith Evelyn;Ross Bagdasarian;Georgine Darcy;Sara Berner;Frank Cady;Jesslyn Fax;Rand Harper;Irene Winston;Havis Davenport,1000000,112,36888916
45,Raiders of the Lost Ark ,,"Action; 
Adventure",12 June 1981,8.5,Steven Spielberg,Harrison Ford;Karen Allen;Paul Freeman;Ronald Lacey;John Rhys-Davies;Denholm Elliott;Alfred Molina;Wolf Kahler;Anthony Higgins;Vic Tablian;Don Fellows;William Hootkins;Bill Reimbold;Fred Sorenson;Patrick Durkin,18000000,115,389925971
46,The Lion King ,G,,24 June 1994,8.5,,Rowan Atkinson;Matthew Broderick;Niketa Calame-Harris;Jim Cummings;Whoopi Goldberg;Robert Guillaume;Jeremy Irons;James Earl Jones;Moira Kelly;Nathan Lane;Zoe Leader;Cheech Marin;Ernie Sabella;Madge Sinclair;Jonathan Taylor Thomas,45000000,88,987483777
47,Gladiator ,,"Action; 
Adventure; 
Drama",5 May 2000,8.5,Ridley Scott,Russell Crowe;Joaquin Phoenix;Connie Nielsen;Oliver Reed;Richard Harris;Derek Jacobi;Djimon Hounsou;David Schofield;John Shrapnel;Tomas Arana;Ralf Moeller;Spencer Treat Clark;David Hemmings;Tommy Flanagan;Sven-Ole Thorsen,103000000,155,457640427
48,The Prestige ,,"Drama; 
Mystery; 
Sci-Fi",20 October 2006,8.5,Christopher Nolan,Hugh Jackman;Christian Bale;Michael Caine;Piper Perabo;Rebecca Hall;Scarlett Johansson;Samantha Mahurin;David Bowie;Andy Serkis;Daniel Davis;Jim Piddock;Christopher Neame;Mark Ryan;Roger Rees;Jamie Harris,40000000,130,109676311
49,Apocalypse Now ,R,"Drama; 
War",15 August 1979,8.5,Francis Ford Coppola,Marlon Brando;Martin Sheen;Robert Duvall;Frederic Forrest;Sam Bottoms;Laurence Fishburne;Albert Hall;Harrison Ford;Dennis Hopper;G.D. Spradlin;Jerry Ziesmer;Scott Glenn;Bo Byers;James Keane;Kerry Rossall,31500000,147,
50,Memento ,,"Mystery; 
Thriller",25 May 2001,8.5,Christopher Nolan,Guy Pearce;Carrie-Anne Moss;Joe Pantoliano;Mark Boone Junior;Russ Fega;Jorja Fox;Stephen Tobolowsky;Harriet Sansom Harris;Thomas Lennon;Callum Keith Rennie;Kimberly Campbell;Marianne Muellerleile;Larry Holden,9000000,113,39723096
51,Alien ,R,,22 June 1979,8.5,Ridley Scott,Tom Skerritt;Sigourney Weaver;Veronica Cartwright;Harry Dean Stanton;John Hurt;Ian Holm;Yaphet Kotto;Bolaji Badejo;Helen Horton,11000000,116,203630630
52,The Great Dictator ,PG,"Comedy; 
Drama; 
War",7 March 1941,8.5,Charles Chaplin,Charles Chaplin;Jack Oakie;Reginald Gardiner;Henry Daniell;Billy Gilbert;Grace Hayle;Carter DeHaven;Paulette Goddard;Maurice Moscovitch;Emma Dunn;Bernard Gorcey;Paul Weigel;Chester Conklin;Esther Michelson;Hank Mann,2000000,125,11000000
53,Nuovo Cinema Paradiso ,PG,Drama,17 November 1988,8.5,Giuseppe Tornatore,Antonella Attili;Enzo Cannavale;Isa Danieli;Leo Gullotta;Marco Leonardi;Pupella Maggio;Agnese Nano;Leopoldo Trieste;Salvatore Cascio;Tano Cimarosa;Nicola Di Pinto;Roberta Lena;Nino Terzo;Jacques Perrin;Philippe Noiret,5000000,155,
54,Hotaru no haka ,PG,,16 April 1988,8.5,Isao Takahata,Tsutomu Tatsumi;Ayano Shiraishi;Yoshiko Shinohara;Akemi Yamaguchi;Tadashi Nakamura;Marcy Bannor;Shelley Calene-Black;Luci Christian;Shannon Conley;Justin Doran;Crispin Freeman;Adam Gibbs;Dan Green;Amy Jones;Susan O. Koozin,3700000,89,
55,Avengers: Infinity War ,PG,"Action; 
Adventure; 
Fantasy",27 April 2018,8.5,,Robert Downey Jr.;Chris Hemsworth;Mark Ruffalo;Chris Evans;Scarlett Johansson;Don Cheadle;Benedict Cumberbatch;Tom Holland;Chadwick Boseman;Zoe Saldana;Karen Gillan;Tom Hiddleston;Paul Bettany;Elizabeth Olsen;Anthony Mackie,321000000,149,2048709917
56,Sunset Blvd. ,PG,"Drama; 
Film-Noir",29 September 1950,8.4,Billy Wilder,William Holden;Gloria Swanson;Erich von Stroheim;Nancy Olson;Fred Clark;Lloyd Gough;Jack Webb;Franklyn Farnum;Larry J. Blake;Charles Dayton;Cecil B. DeMille;Hedda Hopper;Buster Keaton;Anna Q. Nilsson;H.B. Warner,1752000,110,5303175
57,The Lives of Others ,,"Drama; 
Thriller",23 March 2006,8.4,Florian Henckel von Donnersmarck,Martina Gedeck;Ulrich Mühe;Sebastian Koch;Ulrich Tukur;Thomas Thieme;Hans-Uwe Bauer;Volkmar Kleinert;Matthias Brenner;Charly Hübner;Herbert Knaup;Bastian Trost;Marie Gruber;Volker Michalowski;Werner Daehn;Martin Brambach,2000000,137,77356819
58,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,PG,Comedy,29 January 1964,8.4,Stanley Kubrick,Peter Sellers;George C. Scott;Sterling Hayden;Keenan Wynn;Slim Pickens;Peter Bull;James Earl Jones;Tracy Reed;Jack Creley;Frank Berry;Robert O'Neil;Glenn Beck;Roy Stephens;Shane Rimmer;Hal Galili,1800000,95,
59,Paths of Glory ,PG,"Drama; 
War",November 1957,8.4,Stanley Kubrick,Kirk Douglas;Ralph Meeker;Adolphe Menjou;George Macready;Wayne Morris;Richard Anderson;Joe Turkel;Christiane Kubrick;Jerry Hausner;Peter Capell;Emile Meyer;Bert Freed;Kem Dibbs;Timothy Carey;Fred Bell,935000,88,
60,The Shining ,R,"Drama; 
Horror",13 June 1980,8.4,Stanley Kubrick,Jack Nicholson;Shelley Duvall;Danny Lloyd;Scatman Crothers;Barry Nelson;Philip Stone;Joe Turkel;Anne Jackson;Tony Burton;Lia Beldam;Billie Gibson;Barry Dennen;David Baxt;Manning Redwood;Lisa Burns,19000000,144,
61,Django Unchained ,,"Drama; 
Western",25 December 2012,8.4,Quentin Tarantino,Jamie Foxx;Christoph Waltz;Leonardo DiCaprio;Kerry Washington;Samuel L. Jackson;Walton Goggins;Dennis Christopher;James Remar;David Steen;Dana Gourrier;Nichole Galicia;Laura Cayouette;Ato Essandoh;Sammi Rotibi;Clay Donahue Fontenot,100000000,165,425368238
62,WALL·E ,G,,27 June 2008,8.4,Andrew Stanton,Ben Burtt;Elissa Knight;Jeff Garlin;Fred Willard;MacInTalk;John Ratzenberger;Kathy Najimy;Sigourney Weaver;Teddy Newton;Bob Bergen;John Cygan;Pete Docter;Paul Eiding;Donald Fullilove;Teresa Ganzel,180000000,98,534767889
63,Mononoke-hime ,,,26 November 1999,8.4,Hayao Miyazaki,Billy Crudup;Billy Bob Thornton;Minnie Driver;John DiMaggio;Claire Danes;John DeMita;Jada Pinkett Smith;Gillian Anderson;Keith David;Corey Burton;Tara Strong;Julia Fletcher;Debi Derryberry;Alex Fernandez;Jack Fletcher,,134,159375308
64,Witness for the Prosecution ,PG,"Crime; 
Drama; 
Mystery",6 February 1958,8.4,Billy Wilder,Tyrone Power;Marlene Dietrich;Charles Laughton;Elsa Lanchester;John Williams;Henry Daniell;Ian Wolfe;Torin Thatcher;Norma Varden;Una O'Connor;Francis Compton;Philip Tonge;Ruta Lee,3000000,116,16350000
65,American Beauty ,,Drama,1 October 1999,8.4,Sam Mendes,Kevin Spacey;Annette Bening;Thora Birch;Wes Bentley;Mena Suvari;Peter Gallagher;Allison Janney;Chris Cooper;Scott Bakula;Sam Robards;Barry Del Sherman;Ara Celi;John Cho;Fort Atkinson;Sue Casey,15000000,122,226200000
66,The Dark Knight Rises ,,"Action; 
Thriller",20 July 2012,8.4,Christopher Nolan,Christian Bale;Gary Oldman;Tom Hardy;Joseph Gordon-Levitt;Anne Hathaway;Marion Cotillard;Morgan Freeman;Michael Caine;Matthew Modine;Alon Aboutboul;Ben Mendelsohn;Burn Gorman;Daniel Sunjata;Aidan Gillen;Sam Kennard,250000000,164,1084939099
67,Oldeuboi ,R,"Action; 
Drama; 
Mystery",21 November 2003,8.4,Chan-wook Park,Min-sik Choi;Ji-tae Yu;Hye-jeong Kang;Dae-han Ji;Dal-su Oh;Byeong-ok Kim;Seung-shin Lee;Jin-seo Yoon;Dae-yeon Lee;Kwang-rok Oh;Tae-kyung Oh;Yeon-Seok Yoo;Il-han Oo;Su-hyeon Kim;Seung-jin Lee,3000000,120,14980005
68,Aliens ,R,"Action; 
Adventure; 
Sci-Fi",18 July 1986,8.4,James Cameron,Sigourney Weaver;Carrie Henn;Michael Biehn;Paul Reiser;Lance Henriksen;Bill Paxton;William Hope;Jenette Goldstein;Al Matthews;Mark Rolston;Ricco Ross;Colette Hiller;Daniel Kash;Cynthia Dale Scott;Tip Tipping,18500000,137,131060248
69,Once Upon a Time in America ,,"Crime; 
Drama",1 June 1984,8.4,Sergio Leone,Robert De Niro;James Woods;Elizabeth McGovern;Treat Williams;Tuesday Weld;Burt Young;Joe Pesci;Danny Aiello;William Forsythe;James Hayden;Darlanne Fluegel;Larry Rapp;Dutch Miller;Robert Harper;Richard Bright,30000000,229,
70,Coco ,G,,22 November 2017,8.4,,Anthony Gonzalez;Gael García Bernal;Benjamin Bratt;Alanna Ubach;Renee Victor;Jaime Camil;Alfonso Arau;Herbert Siguenza;Gabriel Iglesias;Lombardo Boyar;Ana Ofelia Murguía;Natalia Cordova-Buckley;Selene Luna;Edward James Olmos;Sofía Espinosa,175000000,,807082196
71,Das Boot ,,"Adventure; 
Drama; 
Thriller",17 September 1981,8.4,Wolfgang Petersen,Jürgen Prochnow;Herbert Grönemeyer;Klaus Wennemann;Hubertus Bengsch;Martin Semmelrogge;Bernd Tauber;Erwin Leder;Martin May;Heinz Hoenig;Uwe Ochsenknecht;Claude-Oliver Rudolph;Jan Fedder;Ralf Richter;Joachim Bernhard;Oliver Stritzel,14000000,149,73482661
72,Citizen Kane ,G,"Drama; 
Mystery",5 September 1941,8.4,Orson Welles,Joseph Cotten;Dorothy Comingore;Agnes Moorehead;Ruth Warrick;Ray Collins;Erskine Sanford;Everett Sloane;William Alland;Paul Stewart;George Coulouris;Fortunio Bonanova;Gus Schilling;Philip Van Zandt;Georgia Backus;Harry Shannon,839727,119,
73,Braveheart ,,,24 May 1995,8.4,Mel Gibson,James Robinson;Sean Lawlor;Sandy Nelson;James Cosmo;Sean McGinley;Alan Tall;Andrew Weir;Gerda Stevenson;Ralph Riach;Mhairi Calvey;Brian Cox;Patrick McGoohan;Peter Hanly;Sophie Marceau;Stephen Billington,72000000,178,210409945
74,Vertigo ,G,"Mystery; 
Romance; 
Thriller",21 July 1958,8.3,Alfred Hitchcock,James Stewart;Kim Novak;Barbara Bel Geddes;Tom Helmore;Henry Jones;Raymond Bailey;Ellen Corby;Konstantin Shayne;Lee Patrick,2479000,128,25000000
75,North by Northwest ,,"Adventure; 
Mystery; 
Thriller",26 September 1959,8.3,Alfred Hitchcock,Cary Grant;Eva Marie Saint;James Mason;Jessie Royce Landis;Leo G. Carroll;Josephine Hutchinson;Philip Ober;Martin Landau;Adam Williams;Edward Platt;Robert Ellenstein;Les Tremayne;Philip Coolidge;Patrick McVey;Edward Binns,3101000,136,22213000
76,Reservoir Dogs ,,"Crime; 
Drama; 
Thriller",2 September 1992,8.3,Quentin Tarantino,Harvey Keitel;Tim Roth;Michael Madsen;Chris Penn;Steve Buscemi;Lawrence Tierney;Randy Brooks;Kirk Baltz;Edward Bunker;Quentin Tarantino;Rich Turner;David Steen;Tony Cosmo;Stevo Polyi;Michael Sottile,1200000,99,
77,Star Wars: Episode VI - Return of the Jedi ,G,"Action; 
Adventure; 
Fantasy",25 May 1983,8.3,Richard Marquand,Mark Hamill;Harrison Ford;Carrie Fisher;Billy Dee Williams;Anthony Daniels;Peter Mayhew;Sebastian Shaw;Ian McDiarmid;Frank Oz;James Earl Jones;David Prowse;Alec Guinness;Kenny Baker;Michael Pennington;Kenneth Colley,32500000,131,572705079
78,M - Eine Stadt sucht einen Mörder ,,"Crime; 
Mystery; 
Thriller",31 August 1931,8.3,Fritz Lang,Peter Lorre;Ellen Widmann;Inge Landgut;Otto Wernicke;Theodor Loos;Gustaf Gründgens;Friedrich Gnaß;Fritz Odemar;Paul Kemp;Theo Lingen;Rudolf Blümner;Georg John;Franz Stein;Ernst Stahl-Nachbaur;Gerhard Bienert,,117,
79,Kimi no na wa. ,G,,26 August 2016,8.4,Makoto Shinkai,Ryûnosuke Kamiki;Mone Kamishiraishi;Ryô Narita;Aoi Yûki;Nobunaga Shimazaki;Kaito Ishikawa;Kanon Tani;Masaki Terasoma;Sayaka Ôhara;Kazuhiko Inoue;Chafûrin;Kana Hanazawa;Yuka Terasaki;Takashi Onozuka;Yôhei Namekawa,,106,357986087
80,Amadeus ,PG,,19 September 1984,8.3,Milos Forman,F. Murray Abraham;Tom Hulce;Elizabeth Berridge;Roy Dotrice;Simon Callow;Christine Ebersole;Jeffrey Jones;Charles Kay;Kenneth McMillan;Kenny Baker;Lisbeth Bartlett;Barbara Bryne;Martin Cavina;Roderick Cook;Milan Demjanenko,18000000,160,
81,Requiem for a Dream ,R,Drama,3 November 2000,8.3,Darren Aronofsky,Ellen Burstyn;Jared Leto;Jennifer Connelly;Marlon Wayans;Christopher McDonald;Louise Lasser;Marcia Jean Kurtz;Janet Sarno;Suzanne Shepherd;Joanne Gordon;Charlotte Aronofsky;Mark Margolis;Michael Kaycheck;Jack O'Connell;Chas Mastin,4500000,102,7390108
82,Dangal ,PG,"Action; 
Biography; 
Drama",23 December 2016,8.5,Nitesh Tiwari,Aamir Khan;Fatima Sana Shaikh;Sanya Malhotra;Sakshi Tanwar;Aparshakti Khurana;Zaira Wasim;Suhani Bhatnagar;Ritvik Sahore;Girish Kulkarni;Ravi Aneja;Anurag Arora;Mahesh Balraj;Vivan Bhatena;Anmol Charan;Karmveer Choudhary,,161,310000000
83,Taare Zameen Par ,PG,"Drama; 
Family",21 December 2007,8.4,,Darsheel Safary;Aamir Khan;Tisca Chopra;Vipin Sharma;Sachet Engineer;Tanay Chheda;Lalitha Lajmi;Girija Oak;Ravi Khanvilkar;Pratima Kulkarni;Meghna Malik;Sonali Sachdev;Sanjay Dadich;Raaj Gopal Iyer;Bugs Bhargava,,165,21897373
84,Lawrence of Arabia ,PG,"Adventure; 
Biography; 
Drama",30 January 1963,8.3,David Lean,Peter O'Toole;Alec Guinness;Anthony Quinn;Jack Hawkins;Omar Sharif;José Ferrer;Anthony Quayle;Claude Rains;Arthur Kennedy;Donald Wolfit;I.S. Johar;Gamil Ratib;Michel Ray;John Dimech;Zia Mohyeddin,15000000,216,77324144
85,Eternal Sunshine of the Spotless Mind ,,"Drama; 
Romance; 
Sci-Fi",19 March 2004,8.3,Michel Gondry,Jim Carrey;Kate Winslet;Gerry Robert Byrne;Elijah Wood;Thomas Jay Ryan;Mark Ruffalo;Jane Adams;David Cross;Kirsten Dunst;Tom Wilkinson;Ryan Whitney;Debbon Ayer;Amir Ali Said;Brian Price;Paulie Litt,20000000,108,73169222
86,A Clockwork Orange ,R,"Crime; 
Drama; 
Sci-Fi",13 January 1972,8.3,Stanley Kubrick,Malcolm McDowell;Patrick Magee;Michael Bates;Warren Clarke;John Clive;Adrienne Corri;Carl Duering;Paul Farrell;Clive Francis;Michael Gover;Miriam Karlin;James Marcus;Aubrey Morris;Godfrey Quigley;Sheila Raynor,2200000,136,
87,3 Idiots ,PG,"Comedy; 
Drama",25 December 2009,8.4,Rajkumar Hirani,Aamir Khan;Madhavan;Sharman Joshi;Kareena Kapoor;Boman Irani;Omi Vaidya;Mona Singh;Javed Jaffrey;Parikshat Sahni;Olivier Lafont;Rahul Kumar;Amardeep Jha;Farida Dadi;Mukund Bhatt;Chaitali Bose,,170,80000000
88,2001: A Space Odyssey ,G,"Adventure; 
Sci-Fi",12 May 1968,8.3,Stanley Kubrick,Keir Dullea;Gary Lockwood;William Sylvester;Daniel Richter;Leonard Rossiter;Margaret Tyzack;Robert Beatty;Sean Sullivan;Douglas Rain;Frank Miller;Bill Weston;Ed Bishop;Glenn Beck;Alan Gifford;Ann Gillis,12000000,149,190700000
89,Amélie ,,"Comedy; 
Romance",9 November 2001,8.3,Jean-Pierre Jeunet,Audrey Tautou;Mathieu Kassovitz;Rufus;Lorella Cravotta;Serge Merlin;Jamel Debbouze;Clotilde Mollet;Claire Maurier;Isabelle Nanty;Dominique Pinon;Artus de Penguern;Yolande Moreau;Urbain Cancelier;Maurice Bénichou;Michel Robin,,122,173921954
